baum,鲍姆,2
berg,伯格,3
berger,伯格,4
berry,伯里,2
bert,伯特,3
bluff,布拉夫,3
bone,伯恩,1
borg,堡,3
born,本,3
borne,本,3
boro,伯勒,2
borough,伯勒,2
bourn,本,3
bourne,本,3
brandt,布兰特,4
bridge,布里奇,3
bright,布赖特,3
brook,布鲁克,3
brooke,布鲁克,3
brough,伯勒,2
burg,堡,3
burger,伯格,4
burgh,堡,2
burn,本,3
burne,本,3
burrough,伯勒,2
burton,伯顿,3
bury,伯里,2
by,比,1
caster,克斯特,4
cau,考,1
caw,考,1
cham,彻姆,2
chapel,查珀尔,3
chard,查德,3
chester,切斯特,4
child,柴尔德,3
church,彻奇,3
cius,修斯,2
comb,科姆,2
combe,科姆,2
corner,科纳,4
cough,克夫,2
cour,库尔,2
cow,考,1
croft,克罗夫特,4
dale,代尔,2
dall,德尔,2
dam,丹,2
deau,多,1
dell,德尔,2
den,登,1
deus,迪厄斯,2
dge,奇,1
dham,德姆,2
dius,迪厄斯,2
don,登,1
dorf,多夫,3
dow,道,1
down,当,1
downe,当,1
ds,兹,1
dz,兹,1
feld,费尔德,3
felt,费尔特,3
field,菲尔德,3
ford,福德,3
fort,福特,3
forth,福斯,3
fus,弗斯,2
gan,根,1
gate,盖特,2
ge,奇,1
gham,汉,2
grave,格雷夫,3
grove,格罗夫,3
haus,豪斯,2
hausen,豪森,2
haven,黑文,2
head,黑德,2
horn,霍恩,3
house,豪斯,2
hull,赫尔,2
hurst,赫斯特,4
kall,科尔,2
kamp,坎普,3
key,基,1
lain,莱恩,2
land,兰,2
lander,兰德,3
lau,劳,1
law,劳,1
lay,利,1
ledge,利奇,2
leigh,利,1
lein,莱恩,2
ler,勒,2
less,利斯,2
lett,利特,2
lette,利特,2
ley,利,1
lock,洛克,2
ly,利,1
main,梅恩,2
man,曼,1
mann,曼,1
mayer,迈耶,3
meier,迈耶,3
men,门,1
mer,默,2
mere,米尔,2
meyer,迈耶,3
mont,蒙特,2
more,莫尔,2
mount,芒特,2
mouth,茅斯,2
nall,纳尔,2
nan,南,1
nel,内尔,2
nen,嫩,1
ner,纳,2
ness,内斯,2
nette,内特,2
ney,尼,1
night,奈特,2
nius,尼厄斯,3
non,嫩,1
nutt,纳特,2
paugh,波,1
pert,珀特,3
plain,普莱恩,3
pool,浦,2
port,波特,3
que,克,1
quist,奎斯特,3
rain,雷恩,2
ral,勒尔,2
rand,兰德,2
ridge,里奇,2
rol,勒尔,2
sad,赛德,2
sall,索尔,2
say,赛,1
schmidt,施米特,3
sen,森,1
sett,西特,2
sette,塞特,2
sey,西,1
shall,歇尔,2
sham,舍姆,2
shaw,肖,1
shell,谢尔,2
ship,希普,2
shire,希尔,2
side,赛德,2
sion,申,2
sius,修斯,2
smith,史密斯,3
son,森,1
spring,斯普林,3
springs,斯普林斯,4
stadt,施塔特,3
stair,斯泰尔,3
stan,斯坦,2
stane,斯坦,3
stead,斯特德,3
sted,斯特德,3
stedt,施泰特,3
stine,斯坦,3
stone,斯通,3
stowe,斯托,2
strong,斯特朗,2
sure,热,1
table,泰布尔,3
tain,廷,1
tall,托尔,2
tch,奇,1
ten,滕,1
teus,蒂厄斯,3
tham,瑟姆,2
then,森,1
thian,西恩,2
thorn,索恩,3
thorp,索普,3
thorpe,索普,3
thur,瑟,2
tian,琴,1
tion,申,1
tius,修斯,2
ton,顿,1
tone,通,2
tow,托,1
town,敦,2
ts,茨,1
tz,茨,1
vale,韦尔,2
ville,维尔,2
vin,文,1
waite,韦特,2
wale,韦尔,2
wall,沃尔,2
ward,沃德,3
water,沃特,3
way,韦,1
weil,韦尔,2
well,韦尔,2
wen,温,1
white,怀特,2
wick,威克,2
will,威尔,2
win,温,1
wirth,沃斯,3
witz,威茨,2
wood,伍德,2
worth,沃斯,3
worthy,沃西,3
wright,赖特,2
xius,修斯,2
yard,亚德,3
yer,耶,2
zen,曾,1
zer,泽,2
